uid,datetime,latitude,longitude,altitude,vertical_velocity,ground_speed,satellites,
5707910877795680,2023-10-14T18:55:31Z,29.4227666666667,-98.5097166666667,5870.5,7.52,48.852,10,13:55 is our time. 
5707910877795680,2023-10-14T18:55:37Z,29.4230833333333,-98.5087333333333,5909.7,5.76,62.028,10,"so, 5 hours ahead."
5707910877795680,2023-10-14T18:59:47Z,29.4297,-98.4714,7576.3,4.77,46.476,11,We launched around 13:40 and turned on 
5707910877795680,2023-10-14T19:10:28Z,29.49725,-98.3145666666667,11335,4.39,135.5,11,detector at 9:31.  
5707910877795680,2023-10-14T19:23:48Z,29.6022166666667,-98.09005,16897,10.97,49.536,10,
5707910877795680,2023-10-14T19:24:31Z,29.6027,-98.0839666666667,17237,11.15,59.508,10,
5707910877795680,2023-10-14T19:25:38Z,29.60475,-98.0778166666667,17802,14.11,49.428,10,
5707910877795680,2023-10-14T19:25:45Z,29.6049333333333,-98.0768833333333,17866,6.41,48.852,10,
5707910877795680,2023-10-14T19:26:09Z,29.6054666666667,-98.0747666666667,18071,9.68,38.484,10,
5707910877795680,2023-10-14T19:27:20Z,29.6069833333333,-98.0718333333333,18725,3.18,14.184,10,
5707910877795680,2023-10-14T19:27:43Z,29.6064333333333,-98.0713833333333,18912,7.61,19.656,9,
5707910877795680,2023-10-14T19:27:50Z,29.6065333333333,-98.0713833333333,18965,12.32,21.096,9,
5707910877795680,2023-10-14T19:28:02Z,29.6070833333333,-98.0714,19067,7.89,28.008,10,
5707910877795680,2023-10-14T19:28:14Z,29.6077833333333,-98.0713166666667,19185,5.35,26.316,10,
5707910877795680,2023-10-14T19:28:33Z,29.6091833333333,-98.0706833333333,19333,9.22,37.836,10,
5707910877795680,2023-10-14T19:28:44Z,29.6098,-98.07,19415,5.5,35.244,10,
5707910877795680,2023-10-14T19:28:53Z,29.6100666666667,-98.0695833333333,19478,4.03,33.156,10,
5707910877795680,2023-10-14T19:38:14Z,29.6046833333333,-98.0706333333333,23342,7.24,31.572,11,
5707910877795680,2023-10-14T19:47:53Z,29.5996,-98.0985166666667,26896,6.99,29.016,11,
5707910877795680,2023-10-14T19:48:10Z,29.5998166666667,-98.0994833333333,27005,7.48,13.572,11,
5707910877795680,2023-10-14T19:48:32Z,29.6005666666667,-98.1006833333333,27153,6.58,16.848,10,
5707910877795680,2023-10-14T19:48:48Z,29.6012833333333,-98.1016666666667,27253,7.15,24.804,10,
5707910877795680,2023-10-14T19:48:59Z,29.60175,-98.10245,27325,6.74,16.668,10,
5707910877795680,2023-10-14T19:49:12Z,29.6021833333333,-98.10325,27408,6.83,13.644,11,
5707910877795680,2023-10-14T19:49:20Z,29.6024,-98.1039,27463,7.25,24.876,11,
5707910877795680,2023-10-14T19:49:29Z,29.6026333333333,-98.10445,27520,5.7,37.872,11,
5707910877795680,2023-10-14T19:49:55Z,29.6032,-98.10605,27689,6.52,37.512,11,
5707910877795680,2023-10-14T19:56:47Z,29.6102833333333,-98.1191333333333,24851,-34.23,30.672,9,
5707910877795680,2023-10-14T19:56:57Z,29.6102833333333,-98.1193166666667,24511,-32.94,48.636,10,
5707910877795680,2023-10-14T19:57:09Z,29.6103166666667,-98.11975,24122,-32.79,34.956,10,
5707910877795680,2023-10-14T19:57:23Z,29.6103666666667,-98.1204333333333,23682,-30.88,26.352,11,
5707910877795680,2023-10-14T19:57:34Z,29.6100166666667,-98.1209,23348,-30.86,49.032,11,
5707910877795680,2023-10-14T19:57:56Z,29.6092333333333,-98.1214333333333,22708,-27.91,14.328,10,
5707910877795680,2023-10-14T19:58:58Z,29.6071,-98.1219166666667,21066,-23.93,10.62,11,
5707910877795680,2023-10-14T19:59:09Z,29.6075333333333,-98.1214666666667,20804,-24.6,46.62,12,
5707910877795680,2023-10-14T20:00:15Z,29.6092166666667,-98.1203833333333,19335,-20.42,8.388,11,
5707910877795680,2023-10-14T20:00:44Z,29.6104833333333,-98.12,18760,-19.78,53.208,10,
5707910877795680,2023-10-14T20:00:52Z,29.6102166666667,-98.11975,18606,-18.69,45.324,12,
5707910877795680,2023-10-14T20:01:15Z,29.6103833333333,-98.1186333333333,18182,-17.92,19.296,9,
5707910877795680,2023-10-14T20:01:58Z,29.6121833333333,-98.1151666666667,17444,-17.25,20.304,9,
5707910877795680,2023-10-14T20:02:30Z,29.6132666666667,-98.1119,16909,-15.29,24.66,9,
5707910877795680,2023-10-14T20:03:02Z,29.6134333333333,-98.10705,16404,-17.02,31.032,10,
5707910877795680,2023-10-14T20:03:11Z,29.61385,-98.1056333333333,16268,-14.72,72.684,11,
5707910877795680,2023-10-14T20:03:18Z,29.6143166666667,-98.1044166666667,16164,-15.57,110.41,10,
5707910877795680,2023-10-14T20:03:26Z,29.61495,-98.1028833333333,16044,-15.04,103.68,10,
5707910877795680,2023-10-14T20:03:34Z,29.6156333333333,-98.1012166666667,15925,-14.65,86.832,10,
5707910877795680,2023-10-14T20:04:10Z,29.6178333333333,-98.0926666666667,15405,-13.55,74.232,9,
5707910877795680,2023-10-14T20:05:04Z,29.62275,-98.0771166666667,14686,-12.66,136.94,12,
5707910877795680,2023-10-14T20:05:19Z,29.6247166666667,-98.0724833333333,14489,-13.56,155.02,12,
5707910877795680,2023-10-14T20:05:31Z,29.6264333333333,-98.0688333333333,14337,-12.24,154.58,12,
5707910877795680,2023-10-14T20:05:45Z,29.6284666666667,-98.0644666666667,14161,-12.72,154.4,12,
5707910877795680,2023-10-14T20:05:57Z,29.6303,-98.0608333333333,14009,-12.94,148.1,12,
5707910877795680,2023-10-14T20:08:13Z,29.6514333333333,-98.0147333333333,12393,-11.49,163.01,11,
5707910877795680,2023-10-14T20:08:23Z,29.6532166666667,-98.0112166666667,12280,-11.12,140.33,12,
5707910877795680,2023-10-14T20:08:35Z,29.6554,-98.0071666666667,12147,-10.07,122.44,11,
5707910877795680,2023-10-14T20:08:48Z,29.6578,-98.0029833333333,11991,-13.09,129.49,12,
5707910877795680,2023-10-14T20:09:14Z,29.6621166666667,-97.99445,11662,-13.26,135.72,12,
5707910877795680,2023-10-14T20:11:01Z,29.6769166666667,-97.9600833333333,10359,-11.09,127.76,12,
5707910877795680,2023-10-14T20:11:37Z,29.6809666666667,-97.9496,9962.1,-11.5,111.53,12,
5707910877795680,2023-10-14T20:12:41Z,29.6874666666667,-97.9330166666667,9252.5,-10.41,73.224,12,
5707910877795680,2023-10-14T20:13:04Z,29.68965,-97.9271666666667,9000.4,-10.18,107.32,12,
5707910877795680,2023-10-14T20:13:12Z,29.69035,-97.9252333333333,8916.3,-9.52,94.5,12,
5707910877795680,2023-10-14T20:13:24Z,29.6912666666667,-97.9224666666667,8792.3,-10.06,85.104,11,
5707910877795680,2023-10-14T20:13:34Z,29.6921333333333,-97.9201666666667,8689.1,-10.84,108.9,12,
5707910877795680,2023-10-14T20:13:45Z,29.693,-97.9178333333333,8569.9,-11.16,78.48,12,
5707910877795680,2023-10-14T20:13:56Z,29.6937166666667,-97.9156166666667,8456.7,-10.86,88.056,12,
5707910877795680,2023-10-14T20:14:03Z,29.6941833333333,-97.91415,8389.8,-7.66,69.876,11,
5707910877795680,2023-10-14T20:14:13Z,29.6949166666667,-97.91195,8292.5,-9.67,77.112,12,
5707910877795680,2023-10-14T20:14:25Z,29.6956166666667,-97.9095333333333,8179.7,-8.97,87.264,12,
5707910877795680,2023-10-14T20:14:56Z,29.6972,-97.9036333333333,7858.5,-9.54,53.892,12,
5707910877795680,2023-10-14T20:15:09Z,29.69785,-97.90145,7722.3,-11.17,61.596,12,
5707910877795680,2023-10-14T20:15:57Z,29.6996333333333,-97.8936333333333,7246.6,-8.9,56.124,12,
5707910877795680,2023-10-14T20:17:12Z,29.7009833333333,-97.8834833333333,6554.3,-8.84,54.684,11,
5707910877795680,2023-10-14T20:17:32Z,29.7008333333333,-97.88005,6373.5,-7.56,77.04,12,
5707910877795680,2023-10-14T20:17:52Z,29.7007,-97.8767166666667,6217.2,-8.31,65.916,12,
5707910877795680,2023-10-14T20:18:25Z,29.7006333333333,-97.8715,5950.1,-10.06,75.276,12,
5707910877795680,2023-10-14T20:18:34Z,29.7006,-97.8698833333333,5863.7,-9.6,49.284,12,
5707910877795680,2023-10-14T20:19:35Z,29.7018666666667,-97.86035,5361,-8.44,60.372,12,
5707910877795680,2023-10-14T20:20:04Z,29.70185,-97.8564333333333,5117.1,-7.9,45.036,12,
5707910877795680,2023-10-14T20:20:16Z,29.70165,-97.85485,5022.7,-7.32,21.276,12,
5707910877795680,2023-10-14T20:21:01Z,29.7004333333333,-97.8489166666667,4674.9,-8.15,57.42,11,
5707910877795680,2023-10-14T20:21:08Z,29.7001166666667,-97.8480166666667,4625.8,-7.18,36.936,9,
5707910877795680,2023-10-14T20:22:02Z,29.69745,-97.8411666666667,4233.3,-7.17,64.692,11,
5707910877795680,2023-10-14T20:22:34Z,29.6956333333333,-97.8373,4007.7,-7.01,48.168,11,
5707910877795680,2023-10-14T20:24:13Z,29.6886666666667,-97.8270166666667,3267.9,-5.89,26.424,11,
5707910877795680,2023-10-14T20:24:28Z,29.6873333333333,-97.8255333333333,3166.2,-6.39,53.532,11,
5707910877795680,2023-10-14T20:25:25Z,29.6834166666667,-97.8198833333333,2782.8,-6.84,51.624,11,
5707910877795680,2023-10-14T20:25:34Z,29.6828166666667,-97.8191333333333,2723.8,-7.25,43.344,11,
5707910877795680,2023-10-14T20:25:47Z,29.68195,-97.81805,2638.7,-7.39,30.78,11,
5707910877795680,2023-10-14T20:25:59Z,29.6812,-97.8169666666667,2560.4,-6.74,25.812,11,
5707910877795680,2023-10-14T20:26:16Z,29.6803333333333,-97.81545,2449.3,-7.14,59.652,11,
5707910877795680,2023-10-14T20:26:28Z,29.6797333333333,-97.8144,2372,-6.41,57.96,11,
5707910877795680,2023-10-14T20:26:42Z,29.6790666666667,-97.8132166666667,2282.4,-7.31,51.912,11,
